Employee_ID,First_Name,Last_Name,Age,Department_Region,Status,Join_Date,Salary,Email,Phone,Performance_Score,Remote_Work,Unnamed: 12
EMP1675,Grace,Jones,35.0,Admin-California,Active,,$86632.14,grace.jones@example.com,-2904774257,Poor,True,
EMP1715,Eva,Garcia,35.0,Finance-Florida,Inactive,,$100841.93,eva.garcia@example.com,-8936289695,Poor,True,
EMP1749,Bob,Johnson,30.0,HR-New York,Pending,,$103580.45,bob.johnson@example.com,-5246484493,Excellent,False,
EMP1474,Frank,Williams,40.0,HR-New York,Inactive,,$68430.72,frank.williams@example.com,-5172444722,Good,True,
EMP1454,Charlie,Jones,35.0,DevOps-New York,Inactive,,$51533.90,charlie.jones@example.com,-3896086,Poor,True,
EMP1877,Heidi,Johnson,25.0,Cloud Tech-Texas,Active,,$99471.89,heidi.johnson@example.com,-8471690617,Average,True,
EMP1600,Grace,Jones,30.0,Sales-Nevada,Inactive,,$82529.08,grace.jones@example.com,-917851384,Excellent,True,
EMP1373,Eva,Garcia,,Sales-Texas,Pending,,$71923.00,eva.garcia@example.com,-4964985600,Good,True,
EMP1019,Charlie,Williams,35.0,Admin-Illinois,Pending,,$91926.12,charlie.williams@example.com,-7107256365,Average,True,
EMP1825,Charlie,Brown,30.0,Cloud Tech-Texas,Pending,,$60079.71,charlie.brown@example.com,-4706810389,Average,True,
EMP1428,David,Smith,,Admin-Florida,Inactive,,$118079.15,david.smith@example.com,-3170876013,Good,True,
EMP1116,Frank,Smith,40.0,HR-California,Pending,,$110041.32,frank.smith@example.com,-5411076094,Average,False,
EMP1851,David,Johnson,,DevOps-Texas,Pending,,$56047.05,david.johnson@example.com,-817214363,Excellent,True,
EMP1006,Frank,Jones,,Admin-Nevada,Active,,$96288.43,frank.jones@example.com,-4518376063,Good,False,
EMP1783,Bob,Brown,30.0,Sales-Florida,Inactive,,$73365.46,bob.brown@example.com,-4655866524,Poor,False,
EMP1672,Heidi,Miller,,HR-Illinois,Inactive,,$117867.96,heidi.miller@example.com,-9500507025,Poor,False,
EMP1875,Grace,Williams,30.0,DevOps-California,Pending,,$80706.28,grace.williams@example.com,-605603566,Average,True,
EMP1246,Alice,Smith,25.0,Sales-New York,Inactive,,$61337.69,alice.smith@example.com,-5423401635,Average,True,
EMP1163,Alice,Brown,,HR-Florida,Pending,,$54257.78,alice.brown@example.com,-7546926328,Poor,True,
EMP1443,Eva,Garcia,40.0,Finance-Illinois,Inactive,,$56140.51,eva.garcia@example.com,-1901302055,Average,False,
EMP1152,Heidi,Smith,25.0,Cloud Tech-New York,Pending,,$77205.21,heidi.smith@example.com,-5292407552,Average,False,
EMP1196,David,Johnson,35.0,Sales-Florida,Pending,,$117040.57,david.johnson@example.com,-5066337049,Good,True,
EMP1817,Grace,Williams,35.0,Finance-Nevada,Pending,,$56337.31,grace.williams@example.com,-105875255,Poor,True,
EMP1188,Eva,Davis,35.0,Admin-California,Active,,$85733.83,eva.davis@example.com,-2336293448,Excellent,True,
EMP1169,Frank,Miller,30.0,DevOps-Florida,Active,,$108224.03,frank.miller@example.com,-1837274219,Poor,True,
EMP1473,Grace,Brown,40.0,Finance-Nevada,Inactive,,$94930.65,grace.brown@example.com,-7836091497,Good,False,
EMP1550,Eva,Smith,,Sales-California,Pending,,$53204.47,eva.smith@example.com,-5480940475,Good,False,
EMP1861,David,Smith,25.0,Finance-Nevada,Inactive,,$89707.07,david.smith@example.com,-8049187273,Good,False,
EMP1241,Charlie,Davis,30.0,HR-Illinois,Active,,$118959.28,charlie.davis@example.com,-9839542960,Average,True,
EMP1960,Frank,Smith,25.0,Finance-Texas,Pending,,$84707.12,frank.smith@example.com,-4640830372,Excellent,False,
EMP1838,Bob,Brown,,Admin-Illinois,Pending,,$96140.89,bob.brown@example.com,-1137984408,Average,True,
EMP1973,Eva,Williams,,HR-Illinois,Pending,,$116680.63,eva.williams@example.com,-3095055604,Excellent,True,
EMP2013,Eva,Williams,,HR-Illinois,Pending,,$116680.63,eva.williams@example.com,-4322302332,Good,False,
EMP1338,David,Brown,,Admin-Nevada,Inactive,,$70949.38,david.brown@example.com,-2359096055,Poor,True,
EMP1943,Alice,Jones,35.0,HR-Illinois,Pending,,$85970.65,alice.jones@example.com,-9109032670,Good,True,
EMP1217,Grace,Jones,25.0,HR-New York,Inactive,,$53342.46,grace.jones@example.com,-6686334140,Poor,False,
EMP1379,Bob,Smith,,Cloud Tech-New York,Inactive,,$69239.70,bob.smith@example.com,-7295963903,Excellent,False,
EMP1205,Heidi,Jones,30.0,Admin-New York,Active,,$70705.45,heidi.jones@example.com,-1509377099,Good,False,
EMP1850,Eva,Davis,30.0,Cloud Tech-Texas,Pending,,$53981.73,eva.davis@example.com,-6395613722,Average,False,
EMP1264,Grace,Williams,,Cloud Tech-Texas,Active,,$99951.43,grace.williams@example.com,-7722560530,Average,True,
EMP1400,Bob,Garcia,25.0,HR-California,Inactive,,$76790.47,bob.garcia@example.com,-1347323548,Excellent,True,
EMP1416,Frank,Jones,,Sales-Nevada,Inactive,,$76030.86,frank.jones@example.com,-2369143074,Good,True,
EMP1216,Heidi,Brown,40.0,Sales-Texas,Active,,$67914.67,heidi.brown@example.com,-2871539914,Excellent,True,
EMP1522,Eva,Miller,,Sales-Texas,Pending,,$96337.89,eva.miller@example.com,-6394568043,Poor,False,
EMP1044,Eva,Brown,,Finance-California,Active,,$94399.91,eva.brown@example.com,-5232194167,Good,True,
EMP1754,Frank,Johnson,30.0,Finance-Florida,Inactive,,$61465.05,frank.johnson@example.com,-2573066247,Average,False,
EMP1971,Charlie,Davis,40.0,Sales-Nevada,Inactive,,$71192.68,charlie.davis@example.com,-8632397912,Average,False,
EMP1957,David,Smith,30.0,HR-New York,Pending,,$118150.59,david.smith@example.com,-6079848703,Average,True,
EMP1307,David,Johnson,30.0,Cloud Tech-Texas,Pending,,$81250.87,david.johnson@example.com,-9523668787,Excellent,False,
EMP1327,Alice,Davis,,Cloud Tech-Texas,Pending,,$103503.72,alice.davis@example.com,-2545960632,Average,True,
EMP1701,Frank,Garcia,,Admin-California,Pending,,$96080.26,frank.garcia@example.com,-8609191910,Average,False,
EMP1224,Heidi,Johnson,40.0,DevOps-New York,Active,,$100123.15,heidi.johnson@example.com,-276420864,Average,False,
EMP1874,David,Johnson,25.0,Sales-New York,Inactive,,$58452.18,david.johnson@example.com,-8192365345,Excellent,True,
EMP1083,David,Garcia,40.0,DevOps-California,Inactive,,$92412.49,david.garcia@example.com,-2296044326,Excellent,True,
EMP1369,David,Davis,40.0,Sales-Florida,Inactive,,$99331.49,david.davis@example.com,-8477686341,Excellent,False,
EMP1773,Eva,Brown,,DevOps-Illinois,Active,,$62938.80,eva.brown@example.com,-4418222617,Average,False,
EMP1142,Eva,Brown,25.0,Sales-Nevada,Pending,,$113743.19,eva.brown@example.com,-6346692547,Good,True,
EMP1501,Eva,Jones,35.0,DevOps-Texas,Inactive,,$73539.86,eva.jones@example.com,-5349678273,Excellent,True,
EMP1005,Alice,Garcia,40.0,Sales-Texas,Inactive,,$88642.84,alice.garcia@example.com,-5409003485,Good,False,
EMP1031,Bob,Smith,25.0,DevOps-Illinois,Active,,$114845.69,bob.smith@example.com,-6591520176,Excellent,True,
EMP1001,Bob,Brown,,Finance-Texas,Active,,$65304.66,bob.brown@example.com,-1898471390,Excellent,True,
EMP1816,Charlie,Smith,35.0,Finance-Texas,Pending,,$97985.61,charlie.smith@example.com,-7439742924,Good,False,
EMP1055,Eva,Brown,30.0,Sales-California,Active,,$91759.99,eva.brown@example.com,-3959724664,Excellent,True,
EMP1013,Grace,Williams,,Finance-California,Active,,$85666.84,grace.williams@example.com,-2669300892,Good,False,
EMP1497,David,Brown,35.0,DevOps-Florida,Pending,,$110524.10,david.brown@example.com,-368499514,Average,False,
EMP1983,Grace,Jones,,Sales-Florida,Inactive,,$98717.09,grace.jones@example.com,-1901707567,Poor,False,
EMP1442,Charlie,Smith,35.0,HR-Florida,Active,,$92987.46,charlie.smith@example.com,-4774332682,Excellent,True,
EMP1682,Heidi,Davis,30.0,HR-Texas,Active,,$117880.14,heidi.davis@example.com,-9487148551,Average,False,
EMP1366,Alice,Miller,25.0,Cloud Tech-California,Pending,,$97399.75,alice.miller@example.com,-8028413907,Excellent,False,
EMP1937,Eva,Jones,35.0,DevOps-Nevada,Inactive,,$95766.91,eva.jones@example.com,-5066626704,Average,True,
EMP1066,Grace,Brown,30.0,Admin-Nevada,Pending,,$112486.19,grace.brown@example.com,-7850720810,Excellent,True,
EMP1920,Frank,Jones,30.0,Admin-Illinois,Pending,,$96588.73,frank.jones@example.com,-7677537259,Average,True,
EMP1777,Frank,Garcia,40.0,Cloud Tech-Florida,Pending,,$70498.29,frank.garcia@example.com,-5515122945,Good,True,
EMP1027,Heidi,Johnson,30.0,Finance-Florida,Active,,$56785.16,heidi.johnson@example.com,-2761707586,Excellent,True,
EMP1835,Eva,Brown,25.0,DevOps-Florida,Pending,,$90100.20,eva.brown@example.com,-476921052,Good,False,
EMP1602,Charlie,Brown,,Admin-Florida,Active,,$89645.01,charlie.brown@example.com,-9596604872,Good,True,
EMP1125,Bob,Garcia,35.0,Finance-California,Pending,,$107438.46,bob.garcia@example.com,-249685497,Good,True,
EMP1526,Bob,Williams,,DevOps-Illinois,Active,,$57980.88,bob.williams@example.com,-6375791451,Poor,False,
EMP1252,Eva,Brown,40.0,Admin-Nevada,Inactive,,$81748.09,eva.brown@example.com,-4683414650,Average,True,
EMP1382,Grace,Brown,25.0,DevOps-Nevada,Active,,$111236.69,grace.brown@example.com,-5618579063,Excellent,True,
